country,to_review,suggested_standard,n1,n2,dist,standard
China,Alashan Zuoqi,Alashanzuo Qi,6,24,0.148018648,
China,Ali,Aletai Shi,24,12,0.233333333,
China,Alxa,Altay,24,15,0.216666667,
China,Anci Qu,Anding Qu,12,24,0.158730159,
China,Ankang,Anyang,18,40,0.111111111,
China,Ankang Shi,Ankang,18,6,0.133333333,
China,Anning District,Shuangqing District,12,24,0.175348628,
China,Anqing,Anding Qu,24,23,0.203703704,
China,Anqing Shi,Ankang Shi,6,6,0.133333333,
China,Anshan,Anyang,37,40,0.222222222,
China,Anshun,Anshan,37,23,0.111111111,
China,Anshun Shi,Anshun,23,12,0.133333333,
China,Ansun,Anshun Shi,12,3,0.166666667,
China,Anyang,Shenyang,40,53,0.180555556,
China,Anyang Xian,Anyang,40,6,0.151515152,
China,Anyuan Qu,Qingyuan Qu,12,24,0.127946128,
China,Bagongshan Qu,Tangshan,24,49,0.243131868,
China,Baicheng,Tacheng,23,24,0.130952381,
China,Baicheng Shi,Baicheng,23,6,0.111111111,
China,Baijiantan Qu,Baita Qu,12,24,0.169871795,
China,Baise,Baishan,12,20,0.20952381,
China,Baishan,Taian,20,39,0.20952381,
China,Baita Qu,Babu Qu,24,24,0.220238095,
China,Baiyin Qu,Baiyin,23,12,0.111111111,
China,Baiyin Shi,Baiyin,23,6,0.133333333,
China,Baiyun Qu,Suiyang Qu,12,24,0.14537037,
China,Banan,Hainan,6,20,0.177777778,
China,Banan Qu,Maonan Qu,6,12,0.115740741,
China,Bangbu,Bengbu,6,15,0.111111111,
China,Baohe Qu,Bagongshan Qu,24,12,0.195512821,
China,Baoji,Baoding,46,42,0.20952381,
China,Baoji Shi,Baoji,42,6,0.148148148,
China,Baoshan,Foshan,15,47,0.150793651,
China,Baota Qu,Baohe Qu,12,12,0.166666667,
China,Baqiao Qu,Baita Qu,24,12,0.115740741,
China,Bayi Qu,Baita Qu,24,24,0.130952381,
China,Bazhong,Baoding,46,24,0.19047619,
China,Bazhou Qu,Ganzhou Qu,12,24,0.103703704,
China,Beibei,Beihai,6,36,0.222222222,
China,Beibei District,Qixia District,6,12,0.16031746,
China,Beibei Qu,Beibei,6,6,0.111111111,
China,Beichen Qu,Hecheng Qu,12,24,0.133333333,
China,Beidaihe Qu,Beichen Qu,12,6,0.157575758,
China,Beihai,Weihai,36,40,0.111111111,
China,Beihu,Beihai,36,12,0.177777778,
China,Beihu District,Anning District,12,12,0.206349206,
China,Beihu Qu,Beihu,12,12,0.125,
China,Beijing Shi,Beijing,65,6,0.121212121,
China,Beilin Qu,Bayi Qu,24,24,0.243386243,
China,Beilun Qu,Beihu Qu,12,12,0.115740741,
China,Beita,Beihai,36,12,0.177777778,
China,Beita District,Anning District,12,12,0.206349206,
China,Beita Qu,Beita,12,6,0.125,
China,Bengbu Shi,Bengbu,15,6,0.133333333,
China,Bengshan Qu,Bagongshan Qu,24,24,0.173892774,
